category,id,name,likes,talking_about_count,were_here_count,location-street,location-city,location-country,location-zip,location-lat-lng,link,phone,website,description,members,mission,general_info,products,hours,category_list,cover,emails,founded
"Church/religious organization",1518424255083072,"Nagarjun Mandir, Khadeni Baitadi",54,3,9,khadeni,Baitadi,Nepal,0978,"29.5333,80.4333",https://www.facebook.com/Khadeni,9843397096,http://gmail.com/diamondclub82,"""""","""""","Development of temple","""""","""""","""""","Hindu Temple",object,"""""",Gods
School,305203606293435,"Shree Kedareshor H.S.School Durgasthan",158,7,87,"Durgasthan,Baitadi (Nepal)",Baitadi,Nepal,,"29.5333,80.4333",https://www.facebook.com/Durgasthan,"""""",https://www.facebook.com/Durgasthan,"""""","""""","""""","""""","""""","""""",School,object,"""""",""""""
"Church/religious organization",1464694223799073,"Goddess DURGA MAA- निगंलाशैनी",106,1,97,,Dhangadhi,Nepal,00977,"29.5333,80.4333",https://www.facebook.com/pages/Goddess-DURGA-MAA-%E0%A4%A8%E0%A4%BF%E0%A4%97%E0%A4%82%E0%A4%B2%E0%A4%BE%E0%A4%B6%E0%A5%88%E0%A4%A8%E0%A5%80/1464694223799073,"""""","""""","""""","""""","""""","""""","""""","""""","Religious Organization",object,"""""",""""""
Company,609373872499793,"हाम्रो सुन्दर बैतडी कुवाकोट",29,0,27,"हाम्रो सुन्दर बैतडी कुवाकोट पेजमा स्वागत छ मन पर्यो भने लाइक गर्नु होला।/",Baitadi,Nepal,"V D C","29.5333,80.4333",https://www.facebook.com/pages/%E0%A4%B9%E0%A4%BE%E0%A4%AE%E0%A5%8D%E0%A4%B0%E0%A5%8B-%E0%A4%B8%E0%A5%81%E0%A4%A8%E0%A5%8D%E0%A4%A6%E0%A4%B0-%E0%A4%AC%E0%A5%88%E0%A4%A4%E0%A4%A1%E0%A5%80-%E0%A4%95%E0%A5%81%E0%A4%B5%E0%A4%BE%E0%A4%95%E0%A5%8B%E0%A4%9F/609373872499793,009779814609365,http://www.nabin.com,"""""","""""","""""","""""","""""","""""",Company,"""""","""""",""""""
Health/medical/pharmaceuticals,859421620783987,"Haat Health Post Baitadi",217,1,5,"Purchaundi Haat Baitadi",Baitadi,Nepal,,"29.5333,80.4333",https://www.facebook.com/phhpbaitadi1,095690704,"""""","""""","""""","""""","""""","""""","""""",Health/Medical/Pharmaceuticals,object,"""""",""""""
Shopping/retail,297200437142044,"निङ्गलाशैनी स्टोर्स,डंसिली बैतडी",75,3,5,"कैलपाल गाविस वडा नं.९ डंसिली ",Baitadi,Nepal,,"29.5333,80.4333",https://www.facebook.com/pages/%E0%A4%A8%E0%A4%BF%E0%A4%99%E0%A5%8D%E0%A4%97%E0%A4%B2%E0%A4%BE%E0%A4%B6%E0%A5%88%E0%A4%A8%E0%A5%80-%E0%A4%B8%E0%A5%8D%E0%A4%9F%E0%A5%8B%E0%A4%B0%E0%A5%8D%E0%A4%B8%E0%A4%A1%E0%A4%82%E0%A4%B8%E0%A4%BF%E0%A4%B2%E0%A5%80-%E0%A4%AC%E0%A5%88%E0%A4%A4%E0%A4%A1%E0%A5%80/297200437142044,"""""",https://www.ne.wikipedia.org/wiki/प्रयोगकर्ता:रमेश_सिंह_बोहरा,"""""","""""","""""","""""","""""","""""",Shopping/Retail,object,"""""",""""""
Community/government,372863369545136,"Latkwali,Baitadi",10,1,3,Baitadi,Baitadi,Nepal,,"29.5333,80.4333",https://www.facebook.com/pages/LatkwaliBaitadi/372863369545136,"""""","""""","""""","""""","""""","""""","""""","""""",Community/Government,object,"""""",""""""
Library,376631882493834,"डोटेली विकिपीडिया",2156,12,117,"Baitadi ",Kailali,Nepal,,"29.5333,80.4333",https://www.facebook.com/dtywiki,"""""",https://incubator.wikimedia.org/wiki/Wp/dty/Main_Page,"""""","""""","""""","""""","""""","""""",Library,object,"""""",""""""
"Church/religious organization",798578870214405,"श्री शिगाश - शिगासधुरा",107,2,0,"baitadi ",Baitadi,Nepal,123456,"29.5333,80.4333",https://www.facebook.com/pages/%E0%A4%B6%E0%A5%8D%E0%A4%B0%E0%A5%80-%E0%A4%B6%E0%A4%BF%E0%A4%97%E0%A4%BE%E0%A4%B6-%E0%A4%B6%E0%A4%BF%E0%A4%97%E0%A4%BE%E0%A4%B8%E0%A4%A7%E0%A5%81%E0%A4%B0%E0%A4%BE/798578870214405,009779749518504,"""""","यो धाम बैतडी जिल्लाकै एक महत्वपूर्ण धाम हो।  यो बैतडी जिल्लाको  शिगास गा. बि. स. मा पर्छ। यो धाममा बिसेस गरि शिवजी को पुजा आराचना गरिन्छ। यसको प्रचार  प्रसार त्यति नभाकोले यो त्यति नाममा सुन्न पाइदैन तै पनि यस धामले आफ्नो महत्व र पहिचान बेग्लै  बोकेर आएको छ। यस धामको बारेमा भन्नु   पर्दा यो  त्यस क्षेत्रको  सबै भन्दा जेठो धाम हो  भन्ने  स्तानीय  जनमानस मा रहेको पाईन्छ।  किन कि यो धाममा बैतडी जिल्लाको छिमेकि जिल्लाहरुको धाम भन्दा सबै भन्दा पहिला मेला शिगास धाममा लाग्ने गर्छ। र सबै अरु क्षेत्रको   धामको गाचले श्री  सिगास धामलाई ढोक्ने गर्छन त्यहि भएर यसलाई जेठो भाई पनि भन्छन ।  यो क्षेत्र मा हिउद महिनामा हिउ अनि बर्खा समय मा कुहिरो र सिमसिमे पानी परि राखेको हुन्छ।  यो पहाडको टूपोमा रहेकाले यो स्थान बाट भारत को कुमाउ गडवाल अनि ब्रह्म्मदेउ     देख्न सकिन्छ। यो धाममा दर्सन गरे घर परिवारमा सान्ति  अनि गाऊ  घरमा मिलो ममता  र  अन्न बाली सप्रने शिक्स्या  र आफुले चिताएका मनका कुरा पुरा हुने जन विस्वासमा रहेको देखिन्छ।                ","""""","मनबता सिकाउनु हाम्रो धर्मको कर्तब्य हो ","""""","""""","""""","Church/Religious Organization",object,"""""",""""""
Education,621383997979851,"Ninglashaini Radio",525,5,22,"Gurukhola 8 Baitadi",Baitadi,Nepal,,"29.5333,80.4333",https://www.facebook.com/www.radioninglashaini.com.np,"""""",http://www.radioneglasani.com.np,"संचार नयां पुस्ताको रेडियो निङ्गलासैनी 94 MHzसुचना, समाचर र मनोरोञ्जनको सम्बाहक ।","""""","""""","""""","""""","""""",Education,object,"""""",""""""
"Public places",884783048207213,Madala,9,0,1,"D.C.m ward no. 02 baitadi",Baitadi,Nepal,,"29.5333,80.4333",https://www.facebook.com/madala.com.np,9848832175,http://joshiroshan.com.np,"This page is  create to connect the people of ""Madala"" who are living away from this place.","""""","""""","""""","""""","""""","Public Places &amp; Attractions","""""","""""",""""""
School,565725043549425,"Shree Tripureshwor Secondary School, Patan-9, Baitadi",99,21,1280,"Patan Municipalities-9",Baitadi,Nepal,"Kulada, Tripureshwor","29.5333,80.4333",https://www.facebook.com/shreetripureshworsecondaryschool,9848876502,https://www.facebook.com/Padam1prayoush,"""""","""""","""""","""""","""""","""""",School,object,"""""",""""""
Education,819132791486371,"Shivshakti InfoTech & Cyber Shansar",109,0,1,Baitadi,Baitadi,Nepal,095,"29.5333,80.4333",https://www.facebook.com/pages/Shivshakti-InfoTech-Cyber-Shansar/819132791486371,095520381,"""""","""""","""""","""""","""""","""""","""""",Education,"""""","""""",""""""
"Non-governmental organization (ngo)",494785600634448,"Rural Awareness Youth Society,Nepal - RAYS NEPAL,Baitadi",108,0,5,"Chwagadh Baitadi",Baitadi,Nepal,,"29.5333,80.4333",https://www.facebook.com/pages/Rural-Awareness-Youth-SocietyNepal-RAYS-NEPALBaitadi/494785600634448,9749521087,http://www.facebook.com/rays.nepal.9@facebook.com,"समाजसेवी यूवा अभियान","""""","""""","""""","""""","""""","Non-Governmental Organization (NGO)","""""","""""",""""""
Computers/technology,274228616013125,"Anirudra Computer Education traning  Center",30,0,2,"purchaudi hat baitadi",Baitadi,Nepal,095,"29.5333,80.4333",https://www.facebook.com/anirudracomputer,9848719605,"""""","""""","""""","""""","""""","""""","""""",Computers/Technology,object,"""""","Shankar Datt Awasthi   9848719605     
9749514627"
Tours/sightseeing,312262395609634,"Nateshwori mai ki jay",2,0,32,"kailashmandu ",Bajura,Nepal,00977,"29.3833,81.3167",https://www.facebook.com/pages/Nateshwori-mai-ki-jay/312262395609634,097680139,"""""","""""","""""","""""","""""","""""","""""","Tours &amp; Sightseeing","""""","""""",""""""
Education,385783148238183,Shopkeeper,9,0,31,bajura,Bajura,Nepal,+977,"29.3833,81.3167",https://www.facebook.com/pages/Shopkeeper/385783148238183,9848567167,"""""","""""","""""","""""","""""","""""","""""",Education,object,"""""",""""""
City,100547056652285,"Bajura, Nepal",896,27,2998,,<<not-applicable>>,"29.3833,81.3167",https://www.facebook.com/pages/Bajura-Nepal/100547056652285,"""""","""""","""""","""""","""""","""""","""""","""""",City,"""""","""""",""""""
School,1406675096234519,"Office manegment Accountent malika h.s.s",12,0,5,"Martadi, Bajura",Bajura,Nepal,977,"29.3833,81.3167",https://www.facebook.com/pages/Office-manegment-Accountent-malika-hss/1406675096234519,9848523917,"""""","""""","""""","""""","""""","""""","""""",School,"""""","""""",""""""
"Business services",540670616025062,"Sirjana books",11,0,4,bajura,Bajura,Nepal,00977,"29.3833,81.3167",https://www.facebook.com/pages/Sirjana-books/540670616025062,097541034,"""""","""""","""""","""""","""""","""""","""""","Business Services","""""","""""",""""""
University,1430899900491318,"Bajura Campus-बाजुरा क्याम्पस",249,4,59,,Bajura,Nepal,,"29.3833,81.3167",https://www.facebook.com/bajuracampus,097-541175,http://www.facebook.com/bajuracampus,"""""","""""","""""","""""","""""","""""","College &amp; University",object,"""""",""""""
City,111484722212224,"Oligaon, Nepal",11,0,40,,<<not-applicable>>,"29.3833,81.35",https://www.facebook.com/pages/Oligaon-Nepal/111484722212224,"""""","""""","""""","""""","""""","""""","""""","""""",City,"""""","""""",""""""
Organization,1546439472299597,"Nepal Climate Change Support Program, Bajura",7,1,0,"District Development Committee",Bajura,Nepal,,"29.3833,81.3167",https://www.facebook.com/pages/Nepal-Climate-Change-Support-Program-Bajura/1546439472299597,097-541196,"""""","""""","""""","""""","""""","""""","""""",Organization,object,"""""",""""""
Library,1536620069949578,"बाजुरामा घर छ हामिलाइ के को डर छ।",256,0,0,"bajura ",Bajura,Nepal,,"29.3833,81.3167",https://www.facebook.com/pages/%E0%A4%AC%E0%A4%BE%E0%A4%9C%E0%A5%81%E0%A4%B0%E0%A4%BE%E0%A4%AE%E0%A4%BE-%E0%A4%98%E0%A4%B0-%E0%A4%9B-%E0%A4%B9%E0%A4%BE%E0%A4%AE%E0%A4%BF%E0%A4%B2%E0%A4%BE%E0%A4%87-%E0%A4%95%E0%A5%87-%E0%A4%95%E0%A5%8B-%E0%A4%A1%E0%A4%B0-%E0%A4%9B/1536620069949578,01112440197,"""""","""""","""""","""""","""""","""""","""""",Library,object,"""""",""""""
"Church/religious organization",842065325805631,"Nateshwori Temple,Bajura",12,0,7,Kailashmandu-03,Bajura,Nepal,00977,"29.3833,81.3167",https://www.facebook.com/nateshwori,097680139,"""""","""""","""""","""""","""""","""""","""""","Hindu Temple",object,"""""",""""""
Hotel,360631997446663,Thapa,3,0,0,martadi,Bajura,Nepal,,"29.3833,81.3167",https://www.facebook.com/pages/Thapa/360631997446663,9848844473,http://dt.pvt.np,"""""","""""","""""","""""","""""","""""",Hotel,"""""","""""",""""""
School,1436072329971021,"Bajura Model Academy",25,1,1,"kailashmandu-03,khirpata,bajura",Bajura,Nepal,00977,"29.3833,81.3167",https://www.facebook.com/BajuraModelAcademy,"""""","""""","""""","""""","He who opens a school door, closes a prison. -Victor Hugo","""""","""""","""""",School,object,"""""","Padam Bahadur Shahi"
"Government organization",437647089661478,"जिल्ला निर्वाचन कार्यालय, बाजुरा",480,3,11,,Bajura,Nepal,,"29.385020136117,81.313009280395",https://www.facebook.com/electionofficebajura,00977-97-541008,http://www.election.gov.np,"The district election offices have been established in all the 75 districts in Nepal, to work under the umbrella of the Election commission. The district election office is based in the headquarter in very district. The Election Commission has established these offices with the view of simplifying its operation and maintaining transparency. Each of these offices is headed by a level three gazetted election officer and other employees to assist him/her, as required. The District Election Offices are fully answerable to the Election Commission. Preparing and sending the voters' list from one's respective districts, following directives of the Election Commission, apart from conducting its daily administrative activities are the main functions of the District Election Office.","""""","""""","Public Service of District Election Office Bajura:

    Voters list collection: Certificate of citizenship, landownership or certificate of residence has to be presented. The signature of the voter has to be verified by the district registration officer. The job has to be completed within mid May- June annually.

    Publication of voters list: Assistant district registration officer has to complete the job on the 15th of April every year and present it to the concerned Chief District Election Officer.

    Amended list publication: This should be completed by mid June every year by the Assistant district registration officer and presented to the concerned Chief District Election Officer.

    File petition for inclusion of the missing names into the voters list: Assistant registration officer must file the petition between June 15 to 30th of every year, along with certificates of identity. The documents have to be verified and published by mid August.

    Remove names from voters' list: Fill a form mentioning the reason for removal. This must be done by assistant registration officer within mid May to June and be verified by the District Election Officer. ","""""","""""","Government Organization",object,"""""",""""""
"Local business",458360167663543,"Anjel Books And Stationary Pasal",14,3,0,"Kuldevmandu, Bamka Bazar,Bajura",Bajura,Nepal,,"29.3833,81.3167",https://www.facebook.com/pages/Anjel-Books-And-Stationary-Pasal/458360167663543,9848434286,"""""","""""","""""","""""","""""","""""","""""","School/Office Supplies",object,"""""",""""""
"Business services",257698524374208,"Md Music at Photo Studio",11,0,0,"khalkud road martadi bajura 9848523540",Bajura,Nepal,097,"29.3833,81.3167",https://www.facebook.com/pages/Md-Music-at-Photo-Studio/257698524374208,+9779848523540,"""""","""""","""""","""""","""""","""""","""""","Arts &amp; Entertainment",object,"""""",""""""
Shopping/retail,627992407286630,"Mitjyu  Stationary",2,0,0,"Martadi,Bajura",Bajura,Nepal,+97,"29.3833,81.3167",https://www.facebook.com/mitjyu,097541042,http://facebook.com/mitjyu/,"Here you can get every type of stationery item & so cheap therefore purchase from this shop.thank all of customer.","""""","""""","""""","""""","""""","Shopping District","""""","""""",""""""
Education,323376194497190,lungra,82,0,60,"kathmandu ",Achham,Nepal,o97,"29.05,81.3",https://www.facebook.com/pages/lungra/323376194497190,9868084766,http://www.tweater.com,"""""","""""","""""","""""","""""","""""","First Aid Service",object,"""""","dilip khadka "
City,111599568850069,"Achham, Nepal",2580,69,6306,,<<not-applicable>>,"29.05,81.3",https://www.facebook.com/pages/Achham-Nepal/111599568850069,"""""","""""","""""","""""","""""","""""","""""","""""",City,"""""","""""",""""""
"Public places",1649841201906756,"Ramarosan Tourism Area रामारोशन पर्यटन क्षेत्र",266,1,136,"Achham ",Achham,Nepal,091,"29.05,81.3",https://www.facebook.com/RamaRosan,+977-9814612261,http://www.farwesternnepal.com,"""""","""""","""""","""""","""""","""""","Tours &amp; Sightseeing/Tourist Attraction",object,"""""",""""""
Education,210887692411151,"श्री  मंग्लेश्वोरी  निम्न  माध्यमिक बिद्यालय देवोडाडा कुइका,अछाम",85,0,110,kuika,Achham,Nepal,10710,"29.05,81.3",https://www.facebook.com/hemrz39.np,9815677822,http://hp.dhakal.np,"""""","""""","""""","""""","""""","""""",School,object,"""""","hemraj dhakal"
Education,401697756586511,"Annapurna H.S.S",90,7,12,"Kalagaun, Achham, Nepal",Achham,Nepal,,"29.05,81.3",https://www.facebook.com/pages/Annapurna-HSS/401697756586511,"""""","""""","""""","""""","""""","""""","""""","""""",Education,object,"""""",""""""
Hotel,275108156006121,"Budhiganga Resort and lodge",89,0,38,"SANFEBAGAR , ACHHAM",Achham,Nepal,00977,"29.05,81.3",https://www.facebook.com/budhigangahotel,097-625138,"""""","UDHIGANGA RESORT AND LODGE is located in Airportmarket, Sanfe Bagar beautiful city of Farwestern Nepal. It provides lodging,accommodation,vehicle hiring..","""""","""""","UDHIGANGA RESORT AND LODGE is located in Airportmarket, Sanfe Bagar beautiful city of Farwestern Nepal. It provides lodging,accommodation,vehicle hiring..","""""","""""",Resort/Hotel/Lodge,object,"""""",""""""
"Community organization",228000714040740,"जिल्ला युवा सञ्जाल अछाम",55,2,36,"Mangalsen, Achham",Achham,Nepal,0977,"29.05,81.3",https://www.facebook.com/dynachham,"""""","""""","""""","""""","""""","""""","""""","""""","Community Organization","""""","""""",""""""
"Bank/financial institution",1581406815424672,"Ranivan Kunigada Saving & Credit Co-operative",52,1,9,"Ranivan-4 Kunigada Achham",Achham,Nepal,,"29.05,81.3",https://www.facebook.com/pages/Ranivan-Kunigada-Saving-Credit-Co-operative/1581406815424672,9848250002,"""""","""""","""""","""""","""""","""""","""""","Bank/Financial Institution","""""","""""",""""""
Computers/technology,1468401460105649,"Gyankunj Computer Institute",5,0,14,"Campus Road",Achham,Nepal,+977,"29.05,81.3",https://www.facebook.com/pages/Gyankunj-Computer-Institute/1468401460105649,097620329,"""""","""""","""""","""""","""""","""""","""""",Computers/Technology,"""""","""""","Yakendra BK"
Company,544077349026843,"Ratan saud.",28,0,2,"Darna v.d.c 6",Achham,Nepal,,"29.05,81.3",https://www.facebook.com/pages/Ratan-saud/544077349026843,9656221981,http://www.ratansaud.com,"""""","""""","""""","""""","""""","""""",Company,object,"""""",""""""
Community/government,458569910923212,"Radio Society F.M. 89 Mhz",847,12,34,"Mangalsen, Achham",Achham,Nepal,,"29.05,81.3",https://www.facebook.com/pages/Radio-Society-FM-89-Mhz/458569910923212,097-620343,http://www.facebook.com.np,"""""","""""","""""","""""","""""","""""","Broadcasting &amp; Media Production",object,"""""",""""""
Hotel,465210293577759,"Katak Genral store & Cold center",27,0,31,"Payal-5,Achham Bhaktpur",Achham,Nepal,786,"29.05,81.3",https://www.facebook.com/pages/Katak-Genral-store-Cold-center/465210293577759,9868448827,www.katakgeneralstore.com,"""""","""""","""""","""""","""""","""""",Hotel,object,"""""",""""""
Hotel,1475729862703848,"HOTEL ROYAL PLAZA",5,0,50,"sanfe achham",Achham,Nepal,097,"29.05,81.3",https://www.facebook.com/pages/HOTEL-ROYAL-PLAZA/1475729862703848,097625016,"""""","""""","""""","""""","""""","""""","""""",Hotel,"""""","""""",""""""
Restaurant/cafe,1556874524585038,"Hotel Saino",32,0,2,"Sanfebagar ",Achham,Nepal,977,"29.05,81.3",https://www.facebook.com/sainohotel,097625125,"""""","""""","""""","""""","""""","""""","""""",Lodge,object,"""""",""""""
"Business services",509816509150708,"अछाम राम्रो साफे",1765,86,150,"Sanfebagar Achham",Achham,Nepal,,"29.05,81.3",https://www.facebook.com/pages/%E0%A4%85%E0%A4%9B%E0%A4%BE%E0%A4%AE-%E0%A4%B0%E0%A4%BE%E0%A4%AE%E0%A5%8D%E0%A4%B0%E0%A5%8B-%E0%A4%B8%E0%A4%BE%E0%A4%AB%E0%A5%87/509816509150708,"""""","""""","""""","""""","""""","""""","""""","""""",City,object,"""""",""""""
City,103765986328954,Dhaku,10,0,0,,,"29.07,81.33",https://www.facebook.com/pages/Dhaku/103765986328954,"""""","""""","Dhaku is a village in Achham District in the Seti Zone of western Nepal. At the time of the 1991 Nepal census, the village had a population of 1552 living in 292 houses. At the time of the 2001 Nepal census, the population was 1687, of which 33% was literate.","""""","""""","""""","""""","""""",City,"""""","""""",""""""
City,112021465476205,"Sera, Nepal",4,0,5,,,"29.0542,81.2833",https://www.facebook.com/pages/Sera-Nepal/112021465476205,"""""","""""","Sera, Nepal is a village in Achham District in the Seti Zone of western Nepal. At the time of the 1991 Nepal census, the village had a population of 2478 living in 499 houses. At the time of the 2001 Nepal census, the population was 2626, of which 31% was literate.","""""","""""","""""","""""","""""",City,"""""","""""",""""""
"Public places",530342673699997,"Press Chautari Achham",255,0,7,Achham,Achham,Nepal,+977,"29.05,81.3",https://www.facebook.com/Presschautariachham,+9779848476523,http://www.rfm.org.np,"""""","""""","""""","""""","""""","""""",Publisher,object,"""""",""""""
City,103733979665382,Mashtanamdali,"""""",0,0,,,"29.033333333333,81.3",https://www.facebook.com/pages/Mashtanamdali/103733979665382,"""""","""""","Mashtanamdali is a village in Achham District in the Seti Zone of western Nepal. At the time of the 1991 Nepal census, the village had a population of 1995 living in 350 houses. At the time of the 2001 Nepal census, the population was 2004, of which 31% was literate.","""""","""""","""""","""""","""""",City,"""""","""""",""""""
City,109421672418178,Dhodasain,"""""",1,0,,,"29.02,81.31",https://www.facebook.com/pages/Dhodasain/109421672418178,"""""","""""","Dhodasain is a village in Achham District in the Seti Zone of western Nepal. At the time of the 1991 Nepal census, the village had a population of 3716 living in 682 houses. At the time of the 2001 Nepal census, the population was 4421, of which 32% was literate.","""""","""""","""""","""""","""""",City,"""""","""""",""""""
"Public places",749557791802019,"मंगलसेन नगरपालिका कार्यालय अछाम",585,7,86,"Achham nepal",Achham,Nepal,,"29.05,81.3",https://www.facebook.com/pages/%E0%A4%AE%E0%A4%82%E0%A4%97%E0%A4%B2%E0%A4%B8%E0%A5%87%E0%A4%A8-%E0%A4%A8%E0%A4%97%E0%A4%B0%E0%A4%AA%E0%A4%BE%E0%A4%B2%E0%A4%BF%E0%A4%95%E0%A4%BE-%E0%A4%95%E0%A4%BE%E0%A4%B0%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%B2%E0%A4%AF-%E0%A4%85%E0%A4%9B%E0%A4%BE%E0%A4%AE/749557791802019,097620138,"""""","""""","""""","""""","""""","""""","""""","Public Places",object,"""""",""""""
School,608201585889036,"Shree prabha dhamkot high prabha achham nepal",71,0,11,,Achham,Nepal,,"29.05,81.3",https://www.facebook.com/pages/Shree-prabha-dhamkot-high-prabha-achham-nepal/608201585889036,"""""","""""","""""","""""","""""","""""","""""","""""",School,"""""","""""",""""""
