name,formatted_address,vicinity,formatted_phone_number,international_phone_number,location-lat-lng,location-lat,location-lng,permanently_closed,rating,types,url,website,place_id
"Sports Equipment GIC Berinag","Mantoli, Berinag, Uttarakhand 262531, India","Mantoli, Berinag",,,"29.775179,80.056202",29.775179,80.056202,,,"hardware_store / store / establishment",https://plus.google.com/114388986273063707184/about?hl=en-US,,ChIJmWaQqinVoDkRlpFjnrZa1oI
"Government Inter College New Building","Mantoli, Berinag, Uttarakhand 262531, India","Mantoli, Berinag",,,"29.77505,80.057598",29.77505,80.057598,,,"school / establishment",https://plus.google.com/113510894765556375161/about?hl=en-US,,ChIJcWYV4CjVoDkRgj-oGDM8yls
"Government Inter College Old Building","Mantoli, Berinag, Uttarakhand 262531, India","Mantoli, Berinag",,,"29.775069,80.056622",29.775069,80.056622,,,"school / establishment",https://plus.google.com/112711150216854218621/about?hl=en-US,,ChIJAVr-ASnVoDkRL1QD_JcJRwU
"Mehra Hardwares","Mantoli, Berinag, Uttarakhand 262531, India","Mantoli, Berinag",,,"29.775121,80.055862",29.775121,80.055862,,,"hardware_store / store / establishment",https://plus.google.com/111723220940560992145/about?hl=en-US,,ChIJq9WTrCnVoDkR302GbPOL_dQ
"Rawat Building Material Store","Mantoli, Berinag, Uttarakhand 262531, India","Mantoli, Berinag",,,"29.777778,80.057293",29.777778,80.057293,,,"store / establishment",https://plus.google.com/113850224512171952162/about?hl=en-US,,ChIJIQ3SYynVoDkRGtV_0guZcyc
"Pathak Paint Store","Mantoli, Berinag, Uttarakhand 262531, India","Mantoli, Berinag","084778 87399","+91 84778 87399","29.776852,80.05578",29.776852,80.05578,,,"home_goods_store / store / establishment",https://plus.google.com/117216225173199667897/about?hl=en-US,,ChIJkQvMmynVoDkRcc1uvp0Q5RM
"Pathak Material Suppliers","Mantoli, Berinag, Uttarakhand 262531, India","Mantoli, Berinag",,,"29.776829,80.055726",29.776829,80.055726,,,"store / establishment",https://plus.google.com/116610858499933912290/about?hl=en-US,,ChIJWSQwminVoDkR5uzuxlY1aes
"Pathak Hardware and Tiles Store","Mantoli, Berinag, Uttarakhand 262531, India","Mantoli, Berinag",,,"29.77689,80.055724",29.77689,80.055724,,,"hardware_store / store / establishment",https://plus.google.com/114438588389474275370/about?hl=en-US,,ChIJVztdminVoDkR3iXpMeVjnO4
"PWD construction Material Store","Raiagar, Berinag, Uttarakhand 262531, India","Raiagar, Berinag",,,"29.777979,80.054455",29.777979,80.054455,,,"store / establishment",https://plus.google.com/114182247849135602659/about?hl=en-US,,ChIJdec3HCrVoDkR_QsjDR-8zQw
"Bafila Hardwares","Raiagar, Berinag, Uttarakhand 262531, India","Raiagar, Berinag",,,"29.778538,80.053819",29.778538,80.053819,,,"hardware_store / store / establishment",https://plus.google.com/101461487896419020845/about?hl=en-US,,ChIJO5oqDyrVoDkRAmfyKdd_V_g
"Dhanik Hardware","Dhanoli, Berinag, Uttarakhand 262531, India","Dhanoli, Berinag",,,"29.779222,80.052862",29.779222,80.052862,,,"hardware_store / store / establishment",https://plus.google.com/117742565197895931308/about?hl=en-US,,ChIJYdtzjdXUoDkR-S5tWG1jejw
"Kalakoti Hardware store Building Doors Grills","Raiagar, Berinag, Uttarakhand 262531, India","Raiagar, Berinag",,,"29.780442,80.050603",29.780442,80.050603,,,"hardware_store / store / establishment",https://plus.google.com/118009185462926411605/about?hl=en-US,,ChIJfTu__9TUoDkRp1dGFJxlHyc
"Department of Urban Development and Building Construction Division Office","Dipayal,Doti, Dipayal Silgadhi 10800, Nepal","Dipayal,Doti, Dipayal Silgadhi",,,"29.243711,80.940584",29.243711,80.940584,,,"local_government_office / establishment",https://plus.google.com/100090542839683405773/about?hl=en-US,,ChIJ28XDLAfRozkRQOZL7t5IYMw
"MICRO HYDEL POWER PLANTRUMILA","Namti Chita Bagar, Uttarakhand 263633, India","Namti Chita Bagar",,,"29.921455,80.089935",29.921455,80.089935,,,establishment,https://plus.google.com/101812730206216803775/about?hl=en-US,,ChIJl-bNAtMppzkRF8E5wS7QpPo
"mahakali traders","National Highway 125, Tanakpur, Uttarakhand 262309, India","National Highway 125, Tanakpur","095572 27087","+91 95572 27087","29.072951,80.10499",29.072951,80.10499,,,"hardware_store / store / establishment",https://plus.google.com/111730214372705583667/about?hl=en-US,,ChIJ-w4ewxgAoTkRHu2VQvZMgNg
"Champawat Gas Service","National Highway 125, Champawat, Uttarakhand 262523, India","National Highway 125, Champawat","05965 230 060","+91 5965 230 060","29.33232,80.091476",29.33232,80.091476,,,establishment,https://plus.google.com/104342347993995836094/about?hl=en-US,,ChIJNUpXXPnhoDkRkIGN4qZ7-xc
"Verma Photo & Computers","Khari Bazar, Lohaghat Range, Lohaghat, Uttarakhand 262524, India","Khari Bazar, Lohaghat Range, Lohaghat","096273 90393","+91 96273 90393","29.399983,80.087285",29.399983,80.087285,,,"store / establishment",https://plus.google.com/103476901856675988306/about?hl=en-US,,ChIJOZBp3hngoDkRYHHA14g7sDA
"Bisht Ji Electricity Department","वे टू PuranaThal, Mantoli, Berinag, Uttarakhand 262531, India","वे टू PuranaThal, Mantoli, Berinag",,,"29.777596,80.057032",29.777596,80.057032,,,"store / establishment",https://plus.google.com/108584776939840875806/about?hl=en-US,,ChIJP_anZCnVoDkRejPfexA5CZ4
"Tanakpur Stone CRUSHER","Gayan Khera, Uttarakhand 262309, India","Gayan Khera",,,"29.068661,80.116843",29.068661,80.116843,,,establishment,https://plus.google.com/106535815228524035286/about?hl=en-US,,ChIJF0SBvRMAoTkR3HYRFbI55UU
"Verma Computer & Peripherals","Takana Road, Pithoragarh, Uttranchal 262501, India","Takana Road, Pithoragarh","099973 68991","+91 99973 68991","29.582254,80.207098",29.582254,80.207098,,,"electronics_store / store / establishment",https://plus.google.com/116569667030643209695/about?hl=en-US,http://www.lenovo.com/in/en/,ChIJeR3EKccloTkRxuoDb6pj6Eo
"Far Western Division Road Office 2, Doti","Dipayal Silgadhi 10800, Nepal","Dipayal Silgadhi",094-440151,"+977 94-440151","29.243139,80.9315",29.243139,80.9315,,,establishment,https://plus.google.com/109200120872709648775/about?hl=en-US,http://dor.gov.np/,ChIJI0z8VRvRozkR_2pi8G2kOO0
"Bank Of Baroda","Pithoragarh, Uttarakhand 262501, India",Pithoragarh,"05964 228 484","+91 5964 228 484","29.583666,80.210926",29.583666,80.210926,,,"bank / finance / establishment",https://plus.google.com/102611944062708035728/about?hl=en-US,http://www.bankofbaroda.co.in/,ChIJqcW7SL8loTkRL145aDPHz4c
"Post office","Champawat, Uttarakhand 262523, India",Champawat,,,"29.336454,80.09134",29.336454,80.09134,,,"post_office / finance / establishment",https://plus.google.com/110047339268135625652/about?hl=en-US,http://www.indiapost.gov.in/,ChIJ-zyDcvvhoDkRFOyP2ApBozE
"Tata Motors Service Center","National Highway 125, Maryura, Uttarakhand 262530, India","National Highway 125, Maryura","1800 209 7979","+91 1800 209 7979","29.563361,80.207774",29.563361,80.207774,,,"car_repair / establishment",https://plus.google.com/115687873303962394612/about?hl=en-US,http://customercare.tatamotors.com/,ChIJk_zqDzUkoTkRiUnjYpAGe2c
"State Bank of India","Cement Road, Tanakpur, Uttarakhand 262309, India","Cement Road, Tanakpur","05943 266 313","+91 5943 266 313","29.075582,80.116435",29.075582,80.116435,,,"bank / finance / establishment",https://plus.google.com/107933125070936091318/about?hl=en-US,https://www.sbi.co.in/,ChIJOScVixUAoTkRHX-RJzedCrI
"Tanakpur Police Station","Near Lala Ram Ratan College, Off Cement Road, Tanakpur, Uttarakhand 262309, India","Near Lala Ram Ratan College, Off Cement Road, Tanakpur",,,"29.075052,80.112691",29.075052,80.112691,,,"police / establishment",https://plus.google.com/109126372246280694650/about?hl=en-US,,ChIJc1bUJBYAoTkRSW_JkhTlvso
"Gunanand Ramesh Chandra Punetha","Naya Bazar, Pithoragarh, Uttarkhand 262501, India","Naya Bazar, Pithoragarh","1800 22 8990","+91 1800 22 8990","29.584836,80.211976",29.584836,80.211976,,,"clothing_store / store / establishment",https://plus.google.com/103174826696129886460/about?hl=en-US,http://www.raymond.in/,ChIJXxDuGb8loTkR2QRj6dFDEWE
"Uttaranchal Gramin Bank","Cement Road, Tanakpur, Uttarakhand 262309, India","Cement Road, Tanakpur",,,"29.072543,80.113388",29.072543,80.113388,,,"bank / finance / establishment",https://plus.google.com/113771603397676986149/about?hl=en-US,,ChIJ57n-9BYAoTkRtxxlnVeL2nc
"Pithoragarh District Co-operative Bank Ltd.","Cement Road, Tanakpur, Uttarakhand 262309, India","Cement Road, Tanakpur",,,"29.0729,80.114456",29.0729,80.114456,,,"bank / finance / establishment",https://plus.google.com/106908185019723793351/about?hl=en-US,,ChIJmbWZfRYAoTkRE7q0R2SViME
"Eagle'z Robotic's Lab","Cement Road, Main Market, Tanakpur, Uttarakhand 262309, India","Cement Road, Main Market, Tanakpur","073512 33622","+91 73512 33622","29.070591,80.1072",29.070591,80.1072,,,"electronics_store / store / establishment",https://plus.google.com/112450405239066036868/about?hl=en-US,https://wordpress.com/stats/anuragrobotics.wordpress.com,ChIJNcPDmRkAoTkRKG_PyT-TmhM
"Batra Emporium","Main Bazar, Khatima, UP 262523, India","Main Bazar, Khatima","1800 22 8990","+91 1800 22 8990","29.278308,80.053492",29.278308,80.053492,,,"clothing_store / store / establishment",https://plus.google.com/103174630307026790943/about?hl=en-US,http://www.raymond.in/,ChIJq6qqqqrjoDkRVpjTUzj-nT4
"Banbasa Barrage","Mahendra Rajmarg, Banbasa Canal Range, Uttarakhand, India","Mahendra Rajmarg, Banbasa Canal Range",,,"28.99642,80.106289",28.99642,80.106289,,,establishment,https://plus.google.com/115228518965391677769/about?hl=en-US,,ChIJ8Sc0TC6roTkR4quANb8Uago
"Sharda Power House","Lohia Head Road, Uttarakhand 262308, India","Lohia Head Road",,,"28.922632,80.023974",28.922632,80.023974,,,"electrician / establishment",https://plus.google.com/101293021988365677902/about?hl=en-US,,ChIJ54O3OcRToDkRwCg16X3KG7c
"Nanak Matta Sagar","MDR 39C, Manpur Tilhar, Uttar Pradesh 262308, India","MDR 39C, Manpur Tilhar",,,"28.792635,80.067844",28.792635,80.067844,,,establishment,https://plus.google.com/109399164187694865845/about?hl=en-US,,ChIJj8qNqZNMoDkR3Yv-MB0GefU
"Lalpur Power Sub Station","Mahendra Rajmarg, Bhimdatta 10400, Nepal","Mahendra Rajmarg, Bhimdatta",,,"28.95563,80.228938",28.95563,80.228938,,,establishment,https://plus.google.com/105127008318404815708/about?hl=en-US,,ChIJeaO7ttmuoTkR3XBYKYL7F7U
NHPC-Banbasa,"Champawat, Uttarakhand, India",Champawat,,,"29.005682,80.094602",29.005682,80.094602,,4.8,establishment,https://plus.google.com/113324579204148021618/about?hl=en-US,,ChIJ0d5dcCpVoDkRITZLyxvqrbg
"NHPC Limited","Tanakpur, Uttarakhand 262309, India",Tanakpur,,,"29.055354,80.116982",29.055354,80.116982,,,establishment,https://plus.google.com/114993995364501956251/about?hl=en-US,http://www.nhpcindia.com/projectdetail-hin.htm?CatId=1&ProjectId=17,ChIJJdoITgoAoTkRNd6KTgm4_18
"Tarsem Nimana ( House )","Nanakmatta, Uttarakhand 262311, India",Nanakmatta,"084496 34034","+91 84496 34034","28.907457,79.81704",28.907457,79.81704,,,"lodging / establishment",https://plus.google.com/112697729319517537210/about?hl=en-US,http://www.facebook.com/n1mana,ChIJkfQRGJleoDkRc0OZQAbRn0A
"Shree Ram Cement Concrete Products","Deoni Kesharpur, Uttar Pradesh 262001, India","Deoni Kesharpur","090454 86635","+91 90454 86635","28.65213,79.829777",28.65213,79.829777,,,"general_contractor / establishment",https://plus.google.com/108295893184885235275/about?hl=en-US,,ChIJwdZUtFI_oDkRvI3tAy5uils
"M.K. Construction","Baiyabehadi, Dhangadhi-2, 00977, Nepal","Kailali, Baiyabehadi, Dhangadhi-2",091-524084,"+977 91-524084","28.700224,80.573172",28.700224,80.573172,,,establishment,https://plus.google.com/100678515400866869714/about?hl=en-US,,ChIJ96aJbMTsoTkRYUKg_2WuwuM
"Central Warehousing Corporation","SH 29, Khatima, Uttarakhand 262308, India","SH 29, Khatima",,,"28.909096,79.960887",28.909096,79.960887,,,establishment,https://plus.google.com/106618263145922202852/about?hl=en-US,,ChIJZ29_KfxQoDkRxReJHp1o6JM
"nanak sagar dam","South Jaula Sal Range, Uttarakhand 262308, India","South Jaula Sal Range",,,"28.954456,79.842281",28.954456,79.842281,,,establishment,https://plus.google.com/109872714843490735262/about?hl=en-US,,ChIJuVGzCkVZoDkRxPre7b0XkkI
"Mall Godown of Palia Railway","Mal Godown Road, Palia Kalan, Palia Kalan, Uttar Pradesh 262902, India","Mal Godown Road, Palia Kalan, Palia Kalan",,,"28.428175,80.584227",28.428175,80.584227,,,establishment,https://plus.google.com/116298143783128020041/about?hl=en-US,,ChIJYSbPypzjoTkRu_G3IKniqWk
"Nirmal Niwas","State Highway 25, Palia Kalan, Uttar Pradesh 262902, India","State Highway 25, Palia Kalan","080905 30145","+91 80905 30145","28.425028,80.578687",28.425028,80.578687,,,establishment,https://plus.google.com/112866801817651664247/about?hl=en-US,,ChIJn78S9ZrjoTkRtJL-VU-pxvg
"FOREST CORPORATION RESIDENTIAL BUILDING","Avas Vikas Colony, Pilibhit, Uttar Pradesh 262001, India","Avas Vikas Colony, Pilibhit","05882 255 589","+91 5882 255 589","28.639145,79.813233",28.639145,79.813233,,,establishment,https://plus.google.com/108240699904160289255/about?hl=en-US,,ChIJV0-hTkc_oDkRBxprVlFMyDA
"GUPTA CEMENT STORE","Sampurna Nagar, Uttar Pradesh 262904, India","Sampurna Nagar","094155 58075","+91 94155 58075","28.58793,80.406818",28.58793,80.406818,,,"store / establishment",https://plus.google.com/100783814564895021773/about?hl=en-US,,ChIJLee8l7XDoTkRYLjTXqAf5qw
"OBEETEE TEXTILES PVT. LTD.,","Pachoriya, Chakarpur, Khatima, Uttarakhand 262308, India","Pachoriya, Chakarpur, Khatima","096395 03026","+91 96395 03026","28.922378,79.970133",28.922378,79.970133,,,"store / establishment",https://plus.google.com/110253808670699644428/about?hl=en-US,,ChIJVSPUSRlRoDkRYkN3TCewooo
"J P Enterprises","Melaghat road khatima, khatima, Khatima, Uttarakhand 262308, India","Melaghat road khatima, khatima, Khatima","098379 47428","+91 98379 47428","28.918649,79.970397",28.918649,79.970397,,,establishment,https://plus.google.com/112641577472587572929/about?hl=en-US,,ChIJa7_emhtRoDkR8sn5Mxrtm5o
"MK Hardware","near Police Station Khatima, India","near Police Station Khatima","090127 52783","+91 90127 52783","28.9218,79.968721",28.9218,79.968721,,,"hardware_store / store / establishment",https://plus.google.com/103974700213521245162/about?hl=en-US,,ChIJmbWyux5RoDkRT0E8GS6wfdE
"Kumaun Ply & Hardware Store","SH 29, Khatima, Uttarakhand 262308, India","SH 29, Khatima",,,"28.915419,79.965612",28.915419,79.965612,,,"hardware_store / store / establishment",https://plus.google.com/115903436093450465325/about?hl=en-US,,ChIJ10AHNx1RoDkRJJJJG4Ye034
"Oli Cement Agency","Kutara, Uttarakhand 262308, India",Kutara,,,"28.978063,79.975594",28.978063,79.975594,,,"store / establishment",https://plus.google.com/102409370178824102593/about?hl=en-US,,ChIJm4YspOhWoDkRj602ZUPtlGU
"Nagi Hardwares","ward no. 10, SH 29, Uttarakhand 262302, India","ward no. 10, SH 29","098738 73107","+91 98738 73107","28.818925,79.888536",28.818925,79.888536,,,"hardware_store / store / establishment",https://plus.google.com/113689252047671665942/about?hl=en-US,,ChIJN1i4shFFoDkRHboSrzKLIEw
"modern tiles","Mela Road, Palia Kalan, Uttar Pradesh 262701, India","Mela Road, Palia Kalan","081272 51119","+91 81272 51119","28.430136,80.580708",28.430136,80.580708,,,"home_goods_store / store / establishment",https://plus.google.com/109536044337392050375/about?hl=en-US,,ChIJnfgd8ITjoTkR7UkC-1_tBa0
"JS Infra Planners","Tanakpur Road, Officer's Colony, Pilibhit, Uttar Pradesh 262001, India","Tanakpur Road, Officer's Colony, Pilibhit","05882 259 995","+91 5882 259 995","28.636667,79.819318",28.636667,79.819318,,,establishment,https://plus.google.com/101387888613340637133/about?hl=en-US,http://www.jsinfraplanners.com/,ChIJ0WI9kTc_oDkR6aggt0UUd4g
"Naktadana Power Point","Avas Vikas Colony, Pilibhit, Uttar Pradesh 262001, India","Avas Vikas Colony, Pilibhit",,,"28.640627,79.815798",28.640627,79.815798,,,establishment,https://plus.google.com/100432825601297073622/about?hl=en-US,,ChIJx20hpkc_oDkR0sdeGLvyeGo
"A.M CONSTRUCTION COMPANY","Village and Post- Jeorah Kalyanpur,, Block- Barkhera,, Pilibhit, Uttar Pradesh 262203, India","Village and Post- Jeorah Kalyanpur,, Block- Barkhera,, Pilibhit","098977 53528","+91 98977 53528","28.498264,79.81018",28.498264,79.81018,,,establishment,https://plus.google.com/117011937323307404280/about?hl=en-US,,ChIJd7GdNL48oDkRI6Ul8iE7F1s
"Dudhwa Tiger Reserve Headquarters","Paliya-Dudhwa-Chandan Chowki Road, Palia Kalan, Uttar Pradesh 262902, India","Paliya-Dudhwa-Chandan Chowki Road, Palia Kalan","05871 233 485","+91 5871 233 485","28.434567,80.570329",28.434567,80.570329,,,establishment,https://plus.google.com/100072176689039882028/about?hl=en-US,http://www.dudhwatigerreserve.com/,ChIJFX8_wIvjoTkRTY0zSgjN5fk
"BHARAT PLYWOOD STORE (head office)","Khetal Sandakham, Uttarakhand 262308, India","Khetal Sandakham","089585 00651","+91 89585 00651","28.912658,79.961964",28.912658,79.961964,,,establishment,https://plus.google.com/114236084915043357000/about?hl=en-US,,ChIJV7ybEP1QoDkRD7s3GKzCshY
"Brick Field","Sirsa, Uttar Pradesh 262122, India",Sirsa,,,"28.459665,80.139052",28.459665,80.139052,,,establishment,https://plus.google.com/107037257047841705448/about?hl=en-US,,ChIJA7TRzv7SoTkRRWip69NPAoE
"WWF Palia Office","Paliya-Dudhwa-Chandan Chowki Road, Palia Kalan, Uttar Pradesh 262902, India","Paliya-Dudhwa-Chandan Chowki Road, Palia Kalan",,,"28.425567,80.579853",28.425567,80.579853,,,establishment,https://plus.google.com/114764566813152551094/about?hl=en-US,http://www.wwfindia.org/,ChIJS5oM_ZrjoTkR-ToYllxbbVg
"Lalit Enterprises","Handa Market, Station Road,, Pilibhit, Uttar Pradesh 262001, India","Handa Market, Station Road,, Pilibhit","099270 26934","+91 99270 26934","28.621898,79.810414",28.621898,79.810414,,,"electronics_store / store / establishment",https://plus.google.com/104582143258093712691/about?hl=en-US,http://www.lenovo.com/in/en/,ChIJcb1oGBQ_oDkRTLvTBmbH0Ec
"Axis Bank Ltd","Plot No. 904/1, 903/1, 903/2 & 902/2, Opposite Gupta Bhawan, Chhatari Chouraha, Tanakpur - Bypass Road, Pilibhit, Uttar Pradesh 262001, India","Plot No. 904/1, 903/1, 903/2 & 902/2, Opposite Gupta Bhawan, Chhatari Chouraha, Tanakpur - Bypass Road, Pilibhit","1800 209 5577","+91 1800 209 5577","28.621152,79.811079",28.621152,79.811079,,,"bank / finance / establishment",https://plus.google.com/115254732995853135734/about?hl=en-US,http://www.axisbank.com/,ChIJX1um4CM_oDkRgYiJoDmMqjQ
"Kisan Machinery Store","Maigal road kasta, MDR 86C, Mugle Pur, Uttar Pradesh 262727, India","Maigal road kasta, MDR 86C, Mugle Pur","094518 06248","+91 94518 06248","28.429327,80.578953",28.429327,80.578953,,,establishment,https://plus.google.com/111376275902903853497/about?hl=en-US,http://www.kisanmachinerystore.in/,ChIJb-YXh4w7nzkRgHlTpyjqJu4
"Bajaj Allianz","Avas Vikas Colony, Pilibhit, Uttar Pradesh 262001, India","Avas Vikas Colony, Pilibhit","1800 209 5858","+91 1800 209 5858","28.637304,79.814998",28.637304,79.814998,,,"insurance_agency / finance / establishment",https://plus.google.com/108239026661321932513/about?hl=en-US,http://www.bajajallianz.com/,ChIJj14kjjg_oDkRNyPikIkRUAU
"Shree West Point English School","Belauri Road, Shreepur 10400, Nepal","Belauri Road, Shreepur",,,"28.68023,80.362265",28.68023,80.362265,,,"school / establishment",https://plus.google.com/100732675202222661794/about?hl=en-US,http://westpointacademy.webs.com/,ChIJAccpWzXHoTkRtGe7r8OBDnA
"Bank of Baroda ATM","Plot No. 45, Vill Nadehi, Udham Sing Nagar, Vill-Nadehi, Uttarakhand 244712, India","Plot No. 45, Vill Nadehi, Udham Sing Nagar, Vill-Nadehi","1800 22 3344","+91 1800 22 3344","28.920385,79.969336",28.920385,79.969336,,,"atm / bank / finance / establishment",https://plus.google.com/101968457169391925640/about?hl=en-US,http://www.bankofbaroda.com/,ChIJBQnUBRxRoDkRzi0IiWZ1PDo
"Bank of Baroda ATM","Plot No. 212, Richha, Bareilly, Uttar Pradesh 243205, India","Plot No. 212, Richha, Bareilly","1800 102 4455","+91 1800 102 4455","28.921631,79.970856",28.921631,79.970856,,,"atm / finance / establishment",https://plus.google.com/102788706128332555801/about?hl=en-US,http://www.bankofbaroda.com/,ChIJz2lARicBoDkRr6FzXmBRTTk
"HDFC Bank","Sherpur Road, Maharaja Palace,Municiple No 538,Opposite Railway Station, Puranpur, Uttar Pradesh 262122, India","Sherpur Road, Maharaja Palace,Municiple No 538,Opposite Railway Station, Puranpur","099359 03333","+91 99359 03333","28.516259,80.148096",28.516259,80.148096,,,"atm / bank / finance / establishment",https://plus.google.com/105272230431455436532/about?hl=en-US,http://www.hdfcbank.com/personal/index?src=googplc,ChIJC0sivDZDfjkR4Eo3qwGQ9so
"HDFC Bank ATM","Opposite Railway Station,, â€œMaharaja Palaceâ€ Municipal No 538, Mohalla Chowk Opposite Railway Station, Puranpur, Uttar Pradesh 262122, India","Opposite Railway Station,, â€œMaharaja Palaceâ€ Municipal No 538, Mohalla Chowk Opposite Railway Station, Puranpur","022 6160 6161","+91 22 6160 6161","28.516259,80.148096",28.516259,80.148096,,,"atm / bank / finance / establishment",https://plus.google.com/101520192134168193547/about?hl=en-US,http://www.hdfcbank.com/personal/index?src=googplc,ChIJ-RV-eZzNoTkRu8GQBtGPEdc
"HDFC Bank Branch / ATM","Palia Kalan, Mohalla Pathan Station Road(Sampurna Nagar Road), Uttar Pradesh 262902, India","Palia Kalan, Mohalla Pathan Station Road(Sampurna Nagar Road)","099359 03333","+91 99359 03333","28.434098,80.573128",28.434098,80.573128,,,"bank / atm / finance / establishment",https://plus.google.com/107148415460836839113/about?hl=en-US,http://www.hdfcbank.com/personal/index?src=googplc,ChIJP1NaOInjoTkRTSHv3LNa168
"Post Office","Ballabh Nagar Colony, Pilibhit, Uttar Pradesh 262001, India","Ballabh Nagar Colony, Pilibhit","1800 11 2011","+91 1800 11 2011","28.621465,79.815867",28.621465,79.815867,,,"post_office / finance / establishment",https://plus.google.com/113693640558816678763/about?hl=en-US,http://www.indiapost.gov.in/,ChIJQ8aY0yU_oDkRwGRWUWbxLCQ
"HDFC Bank","Ballabh Nagar Colony, Pilibhit, Uttar Pradesh 262001, India","Ballabh Nagar Colony, Pilibhit","1800 22 1006","+91 1800 22 1006","28.621983,79.811897",28.621983,79.811897,,,"bank / finance / establishment",https://plus.google.com/114360691349563480190/about?hl=en-US,http://www.hdfcbank.com/,ChIJQR5g7CM_oDkRb4BvpTCH1zY
"HDFC Bank ATM","Ballabh Nagar Colony, Pilibhit, Uttar Pradesh 262001, India","Ballabh Nagar Colony, Pilibhit",,,"28.622317,79.812219",28.622317,79.812219,,,"atm / finance / establishment",https://plus.google.com/101141385757321979736/about?hl=en-US,http://www.hdfcbank.com/,ChIJxfR5jSM_oDkRzk_h0kfAqzM
