name,formatted_address,vicinity,formatted_phone_number,international_phone_number,location-lat-lng,permanently_closed,rating,types,url,website,place_id
Panchchuli,"Pithoragarh, Uttarakhand, India",,,,"30.206142,80.427088",,,"natural_feature / establishment",https://plus.google.com/106775013362142242125/about?hl=en-US,,ChIJadWs8K_qpjkRh1CKwM4-WWk
"Om Parvat","Far-Western Region, 10100, Nepal",,,,"30.198791,81.0347",,4.5,"natural_feature / establishment",https://plus.google.com/110246776490005730557/about?hl=en-US,,ChIJ_bMRmjUWpDkRTLJdA9QFD44
"China Customs","Burang, Tibet, China",Burang,,,"30.287565,81.179551",,,establishment,https://plus.google.com/112651160295482727559/about?hl=en-US,,ChIJv3XWHI5ApDkRvuujnjHlwSQ
"Tibet Ngari Burang People's Court","Burang, Tibet, China",Burang,,,"30.291731,81.175745",,,"courthouse / establishment",https://plus.google.com/117425528281961228415/about?hl=en-US,,ChIJLcYPlpBApDkRZxq4UKdd2JE
"Burang People's Government","207 Provincial Road, Burang, Tibet, China","207 Provincial Road, Burang",,,"30.294402,81.176237",,,"local_government_office / establishment",https://plus.google.com/115937334848904341924/about?hl=en-US,,ChIJ0ds9P5dApDkRuJXy4f4eXiQ
"Gokuleshwor Airport","Mahakali, Nepal",,,,"29.668025,80.546337",,,"airport / transit_station / establishment",https://plus.google.com/116105367349610944640/about?hl=en-US,,ChIJ0RO6_jJPoTkR3A4pFeYwQfE
"Lipulekh Pass","Kailash Mansarovar Track, Uttarakhand 262546, India","Kailash Mansarovar Track",,,"30.23416,81.028656",,,establishment,https://plus.google.com/112575306880832952250/about?hl=en-US,,ChIJ66m1qXc9pDkRy6bia2qPqWk
"Shree Surma Bhawani Higher Secondary School","kadachour, Bhamchaur 10500, Nepal","kadachour, Bhamchaur",0974-9039785,"+977 974-9039785","29.562096,80.935437",,,"school / establishment",https://plus.google.com/101619701818872710114/about?hl=en-US,http://eworldsn.blogspot.net/,ChIJIz2EuoXmozkRHCXsLXbM7CI
"Nepal Telecom Darchula","Kailash Mansarovar Road, 10100, Nepal","Kailash Mansarovar Road",,,"29.842814,80.537551",,,establishment,https://plus.google.com/114502376306060116671/about?hl=en-US,http://www.ntc.net.np/,ChIJpcarupi0pjkRqz2n7lq0sHY
"State Bank of India, Jauljibi","Delhi - Dharchula Highway, Jauljibi, Uttarakhand 262544, India","Delhi - Dharchula Highway, Jauljibi","1800 425 3800","+91 1800 425 3800","29.751191,80.377738",,,"bank / finance / establishment",https://plus.google.com/102165821256707377975/about?hl=en-US,http://www.sbi.co.in,ChIJZQxdSWU0oTkRMXS2x92brHU
"ASHENT Computer Education, Didihat (Pithoragarh)","IInd Floor Pangtey Pustak Bhandar,, Tehsil Road,, Didihat, Uttarakhand 262551, India","IInd Floor Pangtey Pustak Bhandar,, Tehsil Road,, Didihat","05964 232 863","+91 5964 232 863","29.800701,80.246072",,,establishment,https://plus.google.com/100206755101208976586/about?hl=en-US,,ChIJY6m8SJMyoTkRIVfM-MmTbTU
"Baitadi Airport","F175, Patan 10202, Nepal","F175, Patan",,,"29.463941,80.54928",,,"airport / transit_station / establishment",https://plus.google.com/107566332144297915785/about?hl=en-US,http://www.flyhere.com/,ChIJO5_RVRtCoTkR5WSRBDFw1_U
"Rastriya Banijya Bank, Darchula Branch","Mahakali Highway, 10100, Nepal","Mahakali Highway",093-420155,"+977 93-420155","29.845289,80.540524",,,"bank / finance / establishment",https://plus.google.com/105317746100732019171/about?hl=en-US,http://www.rbb.com.np/,ChIJ1U9V_J60pjkR2fHsaXBI_Y4
"Police Station","Askote Link Road, Askote, Uttarakhand 262543, India","Askote Link Road, Askote","05964 238 722","+91 5964 238 722","29.764601,80.331666",,,"police / establishment",https://plus.google.com/112687236215480878457/about?hl=en-US,,ChIJxwUY5QUzoTkRKx7Y0ZHvhv8
"Police Station","India - Nepal Road, 10100, Nepal","India - Nepal Road",,,"29.846821,80.542738",,,"police / establishment",https://plus.google.com/116396988593713092142/about?hl=en-US,,ChIJpyDCFZ60pjkRjDHuGm515ac
"Janata Bank Nepal Ltd","Khalanga, 40065, Nepal","Darchula, Khalanga",093-420383,"+977 93-420383","29.845799,80.542809",,,"bank / atm / finance / establishment",https://plus.google.com/100024951740231935561/about?hl=en-US,http://www.janatabank.com.np/,ChIJqWPpsp-0pjkRVbuoCP3h-Jk
"BSNL Network Station","Dharchula, Uttarakhand 262545, India",Dharchula,,,"29.853549,80.537961",,,establishment,https://plus.google.com/108673821046002681195/about?hl=en-US,http://www.bsnl.co.in/,ChIJA7JUq4S0pjkRhh9CXUWGfUI
"Mahara Hotel","Darchula, Khalanga, Nepal 10100, Mahakali Highway, 10100, Nepal","Darchula, Khalanga, Nepal 10100, Mahakali Highway",093-420184,"+977 93-420184","29.845976,80.543352",,,"cafe / food / establishment",https://plus.google.com/108207046465963752175/about?hl=en-US,http://www.facebook.com/DarchulaDistrict,ChIJm_UTL560pjkRAInusfjchSg
"Dhwaj Gufa","Pankholi, Uttarakhand 262501, India",Pankholi,"05964 224 162","+91 5964 224 162","29.646839,80.287346",,,"natural_feature / establishment",https://plus.google.com/104826790638650744676/about?hl=en-US,http://pithoragarh.nic.in/pages/display/61-excursions,ChIJn441sCQwoTkRK-k2BoGlDyE
"Times of Uttarakhand","Didihat, Uttarakhand 262551, India",Didihat,"077372 83910","+91 77372 83910","29.801996,80.248733",,,establishment,https://plus.google.com/114650231779714823135/about?hl=en-US,,ChIJVVVVVczSpjkRfN1luHLZ3h4
"Police Station Check Post","Mahakali Highway, 10100, Nepal","Mahakali Highway",,,"29.845988,80.543183",,,"police / establishment",https://plus.google.com/103150300849271431790/about?hl=en-US,,ChIJN3XQbJ60pjkRV7i9IDFiPFE
"Happy Online","207 Provincial Road, Burang, Tibet, China","207 Provincial Road, Burang",,,"30.292278,81.176286",,,establishment,https://plus.google.com/100430571621586867639/about?hl=en-US,"http://gd.10086.cn/whatsnew/newrelease/communicate/02,509.shtml",ChIJqx0fx5BApDkRO5zOmrdyDvs
"Pinnacle Computer Academy Patan, Baitadi","पाटन मूलमार्ग, Patan 10200, Nepal","पाटन मूलमार्ग, Patan",095-400013,"+977 95-400013","29.462631,80.547657",,,establishment,https://plus.google.com/107015688381592250194/about?hl=en-US,http://www.pcapatan.webs.com,ChIJwfTqPgNCoTkR8XuQli-jdE0
Pasma,"Pasma Restaurant, Kudalwadi, Chikli, Pimpri-Chinchwad, Maharashtra 412114, India","Pasma Restaurant, Kudalwadi, Chikli, Pimpri-Chinchwad","080103 67199","+91 80103 67199","29.73792,80.331918",,,establishment,https://plus.google.com/103249607697540268032/about?hl=en-US,http://www.pasma.com/,ChIJ7dR5g7czoTkR5ntMmmGpM6Y
"Ncell Network Station, Darchula Branch","Mahakali Highway, 10100, Nepal","Mahakali Highway",,,"29.843671,80.538148",,,establishment,https://plus.google.com/114676164626006934679/about?hl=en-US,,ChIJD3f4ypi0pjkRC2P0i7YIUXc
"District Development Committee, Darchula","Mahakali Highway, 10100, Nepal","Mahakali Highway",,,"29.849101,80.549387",,,"finance / establishment",https://plus.google.com/117346173478051691100/about?hl=en-US,http://www.ddcdarchula.gov.np,ChIJqfKe-GOzpjkREVhGcvZe_ws
"China Mobile","China, Tibet, Burang, 207 Provincial Road, 普兰镇047","普兰镇047, 207 Provincial Road, Burang",,,"30.292961,81.177443",,,establishment,https://plus.google.com/104193866586039567476/about?hl=en-US,,ChIJDTgDKpFApDkRODmmB2LMeuo
"Uday Dev Secondary School","Mahakali, 10200, Nepal",,0985-1146332,"+977 985-1146332","29.489218,80.321388",,,"local_government_office / school / establishment",https://plus.google.com/101212018883290031085/about?hl=en-US,http://www.easy.com.np/,ChIJdc4fIFY8oTkR1Clo_CyBlPU
"Best Classifieds India","Pithoragarh, Uttarakhand 262544, India",,,,"29.910882,80.263249",,,"shopping_mall / establishment",https://plus.google.com/116810293730780614461/about?hl=en-US,,ChIJE-08VujRpjkRKAQdfSMsjbo
"Sunkuda Higher Secondary School","Chir, Sunkuda 10500, Nepal","Chir, Sunkuda",,,"29.503309,80.852069",,,"school / establishment",https://plus.google.com/117620653426310546628/about?hl=en-US,,ChIJ1YRB2ljgozkRdoBP3vJj3ow
"District Administration Office","Mahakali Highway, 10100, Nepal","Mahakali Highway",,,"29.842609,80.53907",,,establishment,https://plus.google.com/114419010735666337323/about?hl=en-US,,ChIJZSpqWp-0pjkRMZb-x1lzJBA
"CPC Burang Committee","207 Provincial Road, Burang, Tibet, China","207 Provincial Road, Burang",,,"30.294401,81.176236",,,"local_government_office / establishment",https://plus.google.com/110934128872767973276/about?hl=en-US,,ChIJidc9P5dApDkRfbG-Xduqlbc
"District Hospital","Baitadi Darchula Highway, 10100, Nepal","Baitadi Darchula Highway",,,"29.836875,80.534463",,,"hospital / establishment",https://plus.google.com/113102724933026523970/about?hl=en-US,,ChIJIxWzaKO0pjkRu9DFjM500Ws
"Burang Agricultural Products Market","Burang, Tibet, China",Burang,,,"30.289515,81.179237",,,"food / establishment",https://plus.google.com/100411961402424089224/about?hl=en-US,,ChIJ8dD_k5FApDkRQwSZ_vxrjS4
madkote,"Madkote, Uttarakhand 262554, India",Madkote,,,"30.058917,80.294212",,,establishment,https://plus.google.com/104074828769018196476/about?hl=en-US,,ChIJ-aLMp77EpjkRc4hn12FucVY
"Ganga Photo Studio ,Gothalapani Baitadi","Satbanj-Jhulaghat Road, Dasharathchanda 10200, Nepal","Satbanj-Jhulaghat Road, Dasharathchanda",,,"29.560741,80.418677",,,establishment,https://plus.google.com/114275302629364210411/about?hl=en-US,,ChIJyeqQAOc4oTkReOI3beTVbNg
中国农业银行普兰县支行,"Burang, Ngari, Tibet, China","Burang, Ngari",,,"30.290851,81.178594",,,establishment,https://plus.google.com/104509375065216825359/about?hl=en-US,,ChIJnU3uC5FApDkR5BZhJMZGFuA
"VVMIC Dharchula","Khalanga, Dharchula, Uttarakhand 262545, India","Khalanga, Dharchula",,,"29.848024,80.541007",,,"school / establishment",https://plus.google.com/114803123919311539621/about?hl=en-US,,ChIJkbUdgJ60pjkRtxQeXlZFWno
"Kendriya Vidyalaya Pithoragarh","Pithoragarh, Uttarakhand 262501, India",Pithoragarh,"05964 266 069","+91 5964 266 069","29.580808,80.251473",,,"school / establishment",https://plus.google.com/118022392940288534218/about?hl=en-US,,ChIJWQTEghcloTkRapdzSfLLbOE
岡仁波斉,"Burang, Tibet, China",Burang,,,"30.294402,81.176237",,,establishment,https://plus.google.com/100638879484400664228/about?hl=en-US,,ChIJ0ds9P5dApDkRklviRcULQT0
"China Tibet Burang Bianmao Market","Burang, Tibet, China",Burang,,,"30.289191,81.179399",,,establishment,https://plus.google.com/109799010135595180337/about?hl=en-US,,ChIJFQQqk5FApDkR38xgidZt0Z4
"Primary Hospital","Pithoragharh, Uttarakhand 262543, India",,,,"29.762289,80.336823",,,"hospital / establishment",https://plus.google.com/105400360627004722800/about?hl=en-US,,ChIJaWKDbQkzoTkRKLvS3iIac50
"Burang Peacock Tea House","Burang, Tibet, China",Burang,,,"30.289555,81.179218",,,"restaurant / food / establishment",https://plus.google.com/116022674033440936614/about?hl=en-US,,ChIJN3WtlpFApDkR7bSakAnHIic
"Zhufeng Langmating","Burang, Tibet, China",Burang,,,"30.289597,81.177411",,,establishment,https://plus.google.com/103584465325117591856/about?hl=en-US,,ChIJ99AYTZBApDkRNO-MJqQruKQ
"Tibet Burang Post Bureau","Burang, Tibet, China",Burang,,,"30.291443,81.17787",,,"post_office / finance / establishment",https://plus.google.com/116271202523037384535/about?hl=en-US,,ChIJ1c6IG5FApDkRjGbcFAa24sg
"Tibet Burang Zhenrenmin Government","Burang, Tibet, China",Burang,,,"30.286117,81.176973",,,establishment,https://plus.google.com/102920842412923793499/about?hl=en-US,,ChIJg8DTt49ApDkRiqjDQGgU1Ls
Pungla,"Kailash Mansarovar Road, 10100, Nepal","Kailash Mansarovar Road",,,"29.977451,80.692386",,,establishment,https://plus.google.com/108927167186570999525/about?hl=en-US,,ChIJA39PPxqvpjkRbq-A-vbQQtc
"Burang Post Bureau Office","Burang, Tibet, China",Burang,,,"30.29123,81.177974",,,"post_office / finance / establishment",https://plus.google.com/116696725135221467547/about?hl=en-US,,ChIJJ_UyG5FApDkRLX2_RPn4zzM
"Dharchula Kot","Suwa, Uttarakhand 262545, India",Suwa,,,"29.853055,80.518384",,,establishment,https://plus.google.com/106363443105163682586/about?hl=en-US,,ChIJPaZcZPK0pjkRUIG1KtB_xbM
"Tibet Burang State Administration of Taxation","Burang, Tibet, China",Burang,,,"30.291394,81.178351",,,"accounting / finance / local_government_office / establishment",https://plus.google.com/101603251192132288402/about?hl=en-US,,ChIJYcdTEJFApDkRg0bI8psvwfA
"Atithi Griha Hotel and Restaurant","Delhi - Dharchula National Highway, Uttarakhand 262543, India","Delhi - Dharchula National Highway","094582 70517","+91 94582 70517","29.750314,80.345634",,,"restaurant / food / establishment",https://plus.google.com/108726377309382716716/about?hl=en-US,,ChIJ-4oFWpgzoTkRXiFPXpgJ4JI
"OM Videos and Photo Studio","Askote Link Road, Askote, Uttarakhand 262543, India","Askote Link Road, Askote",,,"29.764806,80.334595",,,establishment,https://plus.google.com/103071110911568045877/about?hl=en-US,,ChIJDZXIMA8zoTkRNb453wjEDco
"Ngari Burang Public Security Bureau","Burang, Tibet, China",Burang,,,"30.29188,81.175698",,,"police / establishment",https://plus.google.com/112890634820711537357/about?hl=en-US,,ChIJ1X7AvZBApDkRnxDWIp1ZAaM
"Nepal Army Darchula","Kailash Mansarovar Road, 10100, Nepal","Kailash Mansarovar Road",,,"29.844022,80.540025",,,establishment,https://plus.google.com/114104728648617066946/about?hl=en-US,,ChIJvRT-EJ-0pjkRZ1WywXxVNvs
"Darchula Multiple Campus","Mahakali Highway, 10100, Nepal","Mahakali Highway",,,"29.843648,80.538408",,,"university / establishment",https://plus.google.com/106267183069781147123/about?hl=en-US,,ChIJod0SNZ-0pjkRQfF6WlS-9iA
Heliport,"Kailash Mansarovar Road, Dharchula, Uttarakhand 262545, India","Kailash Mansarovar Road, Dharchula",,,"29.84448,80.533948",,,"airport / transit_station / establishment",https://plus.google.com/108958026965648661509/about?hl=en-US,,ChIJKbpFy5m0pjkRu4aQS1IB3f4
Didihat,"Pithoragharh, Uttarakhand 262544, India",,,,"29.80276,80.24972",,,"post_office / finance / establishment",https://plus.google.com/100638182240684231811/about?hl=en-US,,ChIJi4LV7cvSpjkRV2A43SLf20g
"China Tobacco","Burang, Tibet, China",Burang,,,"30.289914,81.17905",,,"store / establishment",https://plus.google.com/108103923370367612745/about?hl=en-US,,ChIJDekymJFApDkR7E6C56pdOx4
"State Bank of India","Pithoragharh, Uttarakhand 262543, India",,"05964 238 729","+91 5964 238 729","29.763684,80.336312",,,"bank / finance / establishment",https://plus.google.com/116949459078525119246/about?hl=en-US,https://www.sbi.co.in/,ChIJKbRRNwkzoTkRAMev_xJIzto
"badigown temple","Askote to Gold Mine Road, Namukh, Uttarakhand 262543, India","Askote to Gold Mine Road, Namukh",,,"29.755473,80.334284",,,"hindu_temple / place_of_worship / establishment",https://plus.google.com/117081255867746177003/about?hl=en-US,,ChIJCb7yTKYzoTkRXmRwagngP9U
"Doordarshan Television Network","Kailash Mansarovar Road, 10100, Nepal","Kailash Mansarovar Road",,,"29.853244,80.547533",,,establishment,https://plus.google.com/102217905082443358558/about?hl=en-US,,ChIJbSGYO2OzpjkRaNS8AyKWLmE
"G.G.I.C. College","Kailash Mansarovar Road, Dharchula, Nepal","Kailash Mansarovar Road, Dharchula",,,"29.847502,80.541885",,,"university / establishment",https://plus.google.com/105688636676796204855/about?hl=en-US,,ChIJfXtdcJ60pjkRON8R6dl5f3E
"District Hospital","Kailash Mansarovar Road, Dharchula 10100, Nepal","Kailash Mansarovar Road, Dharchula",,,"29.848159,80.54451",,,"hospital / establishment",https://plus.google.com/116587590991647282337/about?hl=en-US,,ChIJm7sl-GGzpjkRknTMGdYjL-A
"A. D. I. Gold Mines","Namukh, Uttarakhand 262543, India",Namukh,,,"29.758426,80.332321",,,establishment,https://plus.google.com/113428573126227298839/about?hl=en-US,,ChIJq1S9_wczoTkRdb2ZTq6_KOI
"District Police Office","Kailash Mansarovar Road, 10100, Nepal","Kailash Mansarovar Road",093-420199,"+977 93-420199","29.843418,80.537855",,,"police / establishment",https://plus.google.com/101172658804511218848/about?hl=en-US,,ChIJNcwjtZi0pjkRF6cpAa-WRPM
"Bajhang District Hospital","Seti, 10500, Nepal",,,,"29.547729,81.193524",,,"hospital / establishment",https://plus.google.com/116607016269216258701/about?hl=en-US,,ChIJ9Y1BmuOUozkR0xOTyzPjXjE
"Ningalashaini Bhagawati Temple","Dehimandu, Baitadi 10207, Nepal",Baitadi,,,"29.52555,80.466504",,4.3,"hindu_temple / place_of_worship / establishment",https://plus.google.com/100253779810269333341/about?hl=en-US,,ChIJmyTbybpAoTkRGZz4Z4r9P50
"District Jail Darchula","Kailash Mansarovar Road, 10100, Nepal","Kailash Mansarovar Road",,,"29.843027,80.538134",,,establishment,https://plus.google.com/112025635426399866859/about?hl=en-US,,ChIJGZ4qs5i0pjkRQ5uGqBCjUMM
"Ramu Goods Store","Delhi - Dharchula National Highway, Uttarakhand 262543, India","Delhi - Dharchula National Highway",,,"29.747201,80.362018",,,"grocery_or_supermarket / food / store / establishment",https://plus.google.com/103975489958527941815/about?hl=en-US,,ChIJ9Y2s7ogzoTkRwHN_3_hir7I
"Buga Store","Burang, Tibet, China",Burang,,,"30.289768,81.178642",,,"convenience_store / food / store / establishment",https://plus.google.com/106540658594481575593/about?hl=en-US,,ChIJdbXGvJFApDkRHQco3nzokeU
"Khula Munch","Darchula, Np 10100, Mahakali Highway, 10100, Nepal","Darchula, Np 10100, Mahakali Highway",,,"29.841839,80.537073",,,establishment,https://plus.google.com/113759033794419854692/about?hl=en-US,,ChIJYQAlp5i0pjkRTzg3GXV4mHM
"Didihat Primary School","Pithoragharh, Uttarakhand 262544, India",,,,"29.802988,80.25252",,,"school / establishment",https://plus.google.com/104206052197846157401/about?hl=en-US,,ChIJ4bPUO8rSpjkRxLNtkXdxD_I
"S.S.B. Border Check Post","India - Nepal Road, Nepal","India - Nepal Road",,,"29.846549,80.543392",,,"police / establishment",https://plus.google.com/114866087596969544295/about?hl=en-US,,ChIJKVi3I560pjkRsgVheRZFuHE
"SARDAR HOSPITAL OPERATION WALA","Mirthi, Uttarakhand 262550, India",Mirthi,,,"29.776275,80.2816",,,"hospital / establishment",https://plus.google.com/108818568839858636112/about?hl=en-US,,ChIJ3xjVR58yoTkREHJUje1lSUw
"Shenhu Tea Garden","Burang, Tibet, China",Burang,,,"30.290449,81.178796",,,"restaurant / food / establishment",https://plus.google.com/103097124760139398580/about?hl=en-US,,ChIJW6xAoJFApDkRL9Zqu65OIEk
"Communications Hotel","Burang, Tibet, China",Burang,,,"30.290273,81.178876",,,"lodging / establishment",https://plus.google.com/110308410802027107339/about?hl=en-US,,ChIJjSXioZFApDkRkLZsFaJXQJM
"Military Area","Dharchula, Uttarakhand 262545, India",Dharchula,,,"29.844439,80.535858",,,establishment,https://plus.google.com/103110410650894387309/about?hl=en-US,,ChIJrzpL75i0pjkRZ5qMYSUVPp4
"Kharayat General Store & PCO Didihat","Didihat Uttarakhand, India","Didihat Uttarakhand","05964 232 535","+91 5964 232 535","29.801636,80.250261",,,establishment,https://plus.google.com/113984459041360322652/about?hl=en-US,,ChIJY6m8SJMyoTkRxEpcpw0HucU
"Public Phone","207 Provincial Road, Burang, Tibet, China","207 Provincial Road, Burang",,,"30.29332,81.177284",,,establishment,https://plus.google.com/111020017238092963234/about?hl=en-US,,ChIJMxTOKpdApDkRwjdFSEEtABE
"Mehara Health Clinic Didihat Thal Road","Roadways Station, Didihat, Uttarakhand 262551, India","Roadways Station, Didihat","099973 66388","+91 99973 66388","29.801608,80.249929",,,"hospital / establishment",https://plus.google.com/109308221892283725042/about?hl=en-US,,ChIJf6KMmcvSpjkRa7HRaMmcaVo
"Agricultural Bank of China","Burang, Tibet, China",Burang,,,"30.290849,81.178611",,,"bank / finance / establishment",https://plus.google.com/115477293494186470939/about?hl=en-US,,ChIJsUzsC5FApDkRTJgtiPVUlN0
"Microwave Repeter Station","Pabhai, Uttarakhand 262540, India",Pabhai,,,"29.599942,80.271328",,,establishment,https://plus.google.com/111252895730875957248/about?hl=en-US,,ChIJ55fKHUwloTkR79mu0fBLbC8
"Namaste Restaurant","Burang, Tibet, China",Burang,,,"30.289066,81.179458",,,"restaurant / food / establishment",https://plus.google.com/102343737539562841057/about?hl=en-US,,ChIJr8UW7ZFApDkRmgybLahZtAA
"Junior High School","Unchakote, Uttarakhand 262543, India",Unchakote,,,"29.751585,80.346322",,,"school / establishment",https://plus.google.com/115280170010084945469/about?hl=en-US,,ChIJ53MjFpgzoTkR09_En7Ix6iM
"Didihat Wine Shop","Didihat, Uttarakhand 262544, India",Didihat,,,"29.802239,80.250905",,,"restaurant / food / establishment",https://plus.google.com/104168113748306779441/about?hl=en-US,,ChIJtzbDucvSpjkR0vVbG09DO5o
"SSB Heliport","Delhi - Dharchula National Highway, Bagadi Hat, Uttarakhand 262544, India","Delhi - Dharchula National Highway, Bagadi Hat",,,"29.750797,80.371122",,,"airport / transit_station / establishment",https://plus.google.com/115859369840403999488/about?hl=en-US,,ChIJbRcD9Hk0oTkRawCvPe0xOkc
"Samshan Ghat","Jauljibi - Madkote Road, Hinkote, Uttarakhand 262544, India","Jauljibi - Madkote Road, Hinkote",,,"29.775478,80.354905",,,establishment,https://plus.google.com/106337497694107641423/about?hl=en-US,,ChIJjyjLi2UzoTkRODCAYppG4rU
"Burang Elementary School","Burang, Tibet, China",Burang,,,"30.287579,81.179995",,,"school / establishment",https://plus.google.com/115520217097790138258/about?hl=en-US,,ChIJb31zAY5ApDkRj99wD_U4Wfs
"Kalapani F.M.","Kailash Mansarovar Road, 10100, Nepal","Kailash Mansarovar Road",,,"29.853798,80.560293",,,establishment,https://plus.google.com/115862415743480941762/about?hl=en-US,,ChIJ-yk9C26zpjkRA1zZpexXaEk
"Kaman Da Dhaba","Delhi - Dharchula National Highway, Chami Garkha, Uttarakhand 262543, India","Delhi - Dharchula National Highway, Chami Garkha",,,"29.753062,80.351911",,,"restaurant / food / establishment",https://plus.google.com/103711570934598064319/about?hl=en-US,,ChIJp3L2nZszoTkRaPBeO1D-raE
"Mehara Medical Hall","Didihat, Uttarakhand 262551, India",Didihat,"094111 95020","+91 94111 95020","29.801652,80.249559",,,"pharmacy / store / health / establishment",https://plus.google.com/106068436878297222945/about?hl=en-US,,ChIJ3aismsvSpjkRjncdJnmY57k
"Saurlekh Reseve Forest","Sourlekh R.F., Uttarakhand 262521, India","Sourlekh R.F.",,,"29.608985,80.290666",,,"park / establishment",https://plus.google.com/106281949192073689624/about?hl=en-US,,ChIJp-G_ja86oTkRltHqefAtj2k
"Burang Yuzhichang","Burang, Tibet, China",Burang,,,"30.286347,81.179959",,,establishment,https://plus.google.com/104724160722462914256/about?hl=en-US,,ChIJe1OtdI5ApDkR3-2Uc-F4E3U
"Burang Junior High School","Burang, Tibet, China",Burang,,,"30.287575,81.18",,,"school / establishment",https://plus.google.com/115882630043990277222/about?hl=en-US,,ChIJ7UZzAY5ApDkR7-O6QcaDV_c
"Bhatt Bisht Hotel","Didihat, Uttarakhand 262544, India",Didihat,,,"29.801531,80.251061",,,"lodging / establishment",https://plus.google.com/103586074378888629027/about?hl=en-US,,ChIJC4QWr8vSpjkRJoNN_fXXQ1Q
"Faaruq Repairs","Delhi - Dharchula National Highway, Uttarakhand 262544, India","Delhi - Dharchula National Highway",,,"29.758579,80.372241",,,establishment,https://plus.google.com/116582578408743576970/about?hl=en-US,,ChIJtVcKzX00oTkRZYjcvnCjoPA
"Krishna Higher Secondary School","F175, Patan 10202, Nepal","F175, Patan",,,"29.464463,80.548186",,,"school / establishment",https://plus.google.com/105274913883827789372/about?hl=en-US,,ChIJUUz9thxCoTkRr3rTmOUvbpw
"Shiv Temple","Milam Mule Track, Dummar, Uttarakhand 262554, India","Milam Mule Track, Dummar",,,"30.114784,80.250621",,,"hindu_temple / place_of_worship / establishment",https://plus.google.com/102812735983889840899/about?hl=en-US,,ChIJRW2mFuHcpjkRW-UqkM-G720
"Govt. High School Namjala","Munsyari - Madkot Road, Uttarakhand 262554, India","Munsyari - Madkot Road",,,"30.085044,80.247005",,,establishment,https://plus.google.com/111640730673549713346/about?hl=en-US,,ChIJIzLkkJDcpjkR32Lq8KG3_z4
"College Boundary","Bhagichaura Peepali Road, Kanalichinna, Uttarakhand 262541, India","Bhagichaura Peepali Road, Kanalichinna",,,"29.678879,80.273075",,,establishment,https://plus.google.com/118080804168705440542/about?hl=en-US,,ChIJ3yQnzyYuoTkRv53NMn-3T68
"Jimiwal Mobile","Ogla Town, Uttarakhand 262543, India","Ogla Town",,,"29.753869,80.283723",,,"store / establishment",https://plus.google.com/106421070352929818683/about?hl=en-US,,ChIJBXPWkn0yoTkRwzdPYKI5UDE
